gbif:canonicalName,dwc:genus,species,dwc:specificEpithet,Day,Month,Year,Day of the year
abrus precatorius,abrus,abrus precatorius l.,precatorius,17,5,1999,137
abrus precatorius,abrus,abrus precatorius l.,precatorius,17,5,1999,137
abutilon indicum,abutilon,abutilon indicum,indicum,15,8,1992,228
abutilon theophrasti,abutilon,abutilon avicennae,theophrasti,20,8,1992,233
acacia smithiana,acacia,acacia smithiana roxb.,smithiana,,,,
acalypha,acalypha,acalypha indica,indica,12,7,1992,214
acalypha,acalypha,acalypha indica,indica,1,8,1992,168
acalypha,acalypha,acalypha indica l.,indica,16,6,2000,194
acampe cephalotes,acampe,acampe cephalotes lindl.,cephalotes,19,11,1847,323
acampe ochracea,acampe,acampe ochraceum,ochracea,16,12,1944,351
acampe praemorsa,acampe,acampe papillosa,praemorsa,16,12,1944,351
acanthaceae,,acanthaceae,,8,6,2000,160
acanthopanax trifoliatum,acanthopanax,acanthopanax trifoliatus (l.) voss var. sepius,trifoliatum,29,9,1850,272
acanthopanax trifoliatum,acanthopanax,acanthopanax trifoliatus (l.) voss var. sepius,trifoliatum,8,11,1850,
acanthopanax trifoliatum,acanthopanax,acanthopanax trifoliatus (l.) voss var. sepius,trifoliatum,,,,312
acanthopanax trifoliatum,acanthopanax,acanthopanax trifoliatus (l.) voss var. sepius,trifoliatum,,,,
acanthopanax trifoliatum,acanthopanax,acanthopanax trifoliatus (l.) voss var. sepius,trifoliatum,,,,
acanthus ilicifolius,acanthus,acanthus ilicifolius l.,ilicifolius,1,6,2000,153
acanthus leucostachyus,acanthus,acanthus leucostachyus wall.,leucostachyus,,,,
acanthus leucostachyus,acanthus,acanthus leucostachyus wall.,leucostachyus,,,,
acer oblongum,acer,acer oblongum wall.,oblongum,,,,
achyranthes aspera,achyranthes,achyranthes aspera,aspera,10,7,1992,192
achyranthes aspera,achyranthes,achyranthes aspera,aspera,12,4,1868,103
achyranthes aspera,achyranthes,achyranthes aspera,aspera,23,10,1868,297
achyrospermum wallichianum,achyrospermum,achyrospermum wallichianum (benth.) benth. ex hook.f.,wallichianum,,,,
acranthera tomentosa,acranthera,acranthera tomentosa r.br. ex hook.f.,tomentosa,,,,
acronychia,acronychia,acronychia  j.r.forst.,,10,10,1979,283
acronychia,acronychia,acronychia  j.r.forst.,,19,11,1979,323
acronychia pedunculata,acronychia,acronychia pedunculata,pedunculata,6,8,1992,219
acronychia pedunculata,acronychia,acronychia pedunculata (l.) miq.,pedunculata,,,,
acrostichum aureum,acrostichum,acrostichum aureum l.,aureum,1,6,2000,153
acrostichum aureum,acrostichum,acrostichum aureum l.,aureum,1,6,2000,
acrostichum aureum,acrostichum,acrostichum aureum l.,aureum,,,,153
actinoscirpus grossus,actinoscirpus,actinoscirpus grossus var. kysoor,grossus,29,12,1875,363
actinostemma tenerum,actinostemma,actinostemma tenerum griff.,tenerum,,,,
actinostemma tenerum,actinostemma,actinostemma tenerum griff.,tenerum,,,,
actinostemma tenerum,actinostemma,actinostemma tenerum griffith,tenerum,,,,
adenia cardiophylla,adenia,adenia cardiophylla engl.,cardiophylla,,,,
adenostemma elatum,adenostemma,adenostemma elatum dc.,elatum,,,,
adiantum caudatum,adiantum,adiantum caudatum,caudatum,,,,
adiantum philippense,adiantum,adiantum philippense l.,philippense,1,1,1901,202
adiantum philippense,adiantum,adiantum philippense,philippense,9,7,1901,341
adiantum philippense,adiantum,adiantum l.,philippense,15,7,1901,221
adiantum philippense,adiantum,adiantum philippense,philippense,8,8,1901,40
adiantum philippense,adiantum,adiantum philippense,philippense,28,11,1901,255
adiantum philippense,adiantum,adiantum philippense l.,philippense,1,4,1902,360
adiantum philippense,adiantum,adiantum philippense,philippense,23,5,1902,
adiantum philippense,adiantum,adiantum philippense,philippense,8,8,1902,99
adiantum philippense,adiantum,adiantum philippense l.,philippense,1,9,1902,288
adiantum philippense,adiantum,adiantum philippense l.,philippense,20,10,1902,171
adiantum philippense,adiantum,adiantum philippense l.,philippense,20,10,1902,225
adiantum philippense,adiantum,adiantum philippense l.,philippense,28,11,1902,210
adiantum philippense,adiantum,adiantum philippense l.,philippense,28,11,1902,94
adiantum philippense,adiantum,adiantum philippense l.,philippense,28,11,1902,
adiantum philippense,adiantum,adiantum philippense l.,philippense,28,11,1902,349
adiantum philippense,adiantum,adiantum philippense,philippense,6,12,1902,133
adiantum philippense,adiantum,adiantum philippense l.,philippense,8,7,1903,222
adiantum philippense,adiantum,adiantum philippense l.,philippense,8,7,1903,157
adiantum philippense,adiantum,adiantum philippense l.,philippense,8,7,1903,83
adiantum philippense,adiantum,adiantum philippense,philippense,29,10,1903,117
adiantum philippense,adiantum,adiantum philippense l.,philippense,29,10,1903,10
adiantum philippense,adiantum,adiantum philippense,philippense,2,1,1904,50
adiantum philippense,adiantum,adiantum philippense,philippense,11,2,1904,
adiantum philippense,adiantum,adiantum philippense,philippense,29,4,1904,253
adiantum philippense,adiantum,adiantum philippense,philippense,8,8,1904,135
adiantum philippense,adiantum,adiantum philippense l.,philippense,24,8,1904,190
adiantum philippense,adiantum,adiantum philippense,philippense,24,8,1904,27
adiantum philippense,adiantum,adiantum philippense,philippense,24,8,1904,172
adiantum philippense,adiantum,adiantum philippense,philippense,24,8,1904,
adiantum philippense,adiantum,adiantum philippense l.,philippense,24,8,1904,310
adiantum philippense,adiantum,adiantum philippense,philippense,24,8,1904,348
adiantum philippense,adiantum,adiantum philippense,philippense,24,8,1904,105
adiantum philippense,adiantum,adiantum philippense,philippense,24,8,1904,118
adiantum philippense,adiantum,adiantum philippense,philippense,24,8,1904,291
adiantum philippense,adiantum,adiantum philippense,philippense,24,8,1904,43
adiantum philippense,adiantum,adiantum philippense l.,philippense,10,9,1904,143
adiantum philippense,adiantum,adiantum l.,philippense,5,10,1904,213
adiantum philippense,adiantum,adiantum l.,philippense,16,6,1905,290
adiantum philippense,adiantum,adiantum philippense l.,philippense,1,8,1905,
adiantum philippense,adiantum,adiantum l.,philippense,9,8,1905,234
adiantum philippense,adiantum,adiantum philippense l.,philippense,3,2,1906,197
adiantum philippense,adiantum,adiantum l.,philippense,9,7,1906,94
adiantum philippense,adiantum,adiantum philippense,philippense,24,12,1906,69
adiantum philippense,adiantum,adiantum philippense,philippense,31,12,1906,
adiantum philippense,adiantum,adiantum philippense l.,philippense,20,1,1907,278
adiantum philippense,adiantum,adiantum philippense,philippense,20,1,1907,
adiantum philippense,adiantum,adiantum philippense l.,philippense,22,2,1907,
adiantum philippense,adiantum,adiantum philippense,philippense,10,7,1907,
adiantum philippense,adiantum,adiantum philippense l.,philippense,10,8,1907,
adiantum philippense,adiantum,adiantum philippense,philippense,7,9,1907,222
adiantum philippense,adiantum,adiantum philippense l.,philippense,8,9,1907,
adiantum philippense,adiantum,adiantum philippense,philippense,8,9,1907,339
adiantum philippense,adiantum,adiantum philippense,philippense,8,9,1907,222
adiantum philippense,adiantum,adiantum philippense,philippense,14,9,1907,286
adiantum philippense,adiantum,adiantum philippense l.,philippense,14,9,1907,
adiantum philippense,adiantum,adiantum philippense,philippense,18,9,1907,
adiantum philippense,adiantum,adiantum philippense,philippense,18,9,1907,
adiantum philippense,adiantum,adiantum philippense,philippense,22,9,1907,234
adiantum philippense,adiantum,adiantum philippense l.,philippense,22,9,1907,
adiantum philippense,adiantum,adiantum philippense,philippense,6,10,1907,
adiantum philippense,adiantum,adiantum philippense,philippense,6,10,1907,327
adiantum philippense,adiantum,adiantum philippense,philippense,6,10,1907,234
adiantum philippense,adiantum,adiantum philippense l.,philippense,8,10,1907,283
adiantum philippense,adiantum,adiantum philippense,philippense,13,10,1907,82
adiantum philippense,adiantum,adiantum philippense,philippense,22,10,1907,226
adiantum philippense,adiantum,adiantum philippense,philippense,16,11,1907,250
adiantum philippense,adiantum,adiantum philippense,philippense,1,12,1907,71
adiantum philippense,adiantum,adiantum philippense,philippense,1,12,1907,289
adiantum philippense,adiantum,adiantum philippense,philippense,16,12,1907,220
adiantum philippense,adiantum,adiantum philippense,philippense,16,12,1907,
adiantum philippense,adiantum,adiantum philippense,philippense,16,12,1907,38
adiantum philippense,adiantum,adiantum philippense,philippense,16,12,1907,
adiantum philippense,adiantum,adiantum philippense,philippense,18,12,1907,25
adiantum philippense,adiantum,adiantum philippense l.,philippense,1,1,1908,287
adiantum philippense,adiantum,adiantum philippense l.,philippense,27,1,1908,32
adiantum philippense,adiantum,adiantum philippense l.,philippense,1,4,1908,
adiantum philippense,adiantum,adiantum philippense l.,philippense,7,4,1908,125
adiantum philippense,adiantum,adiantum philippense,philippense,1,6,1908,
adiantum philippense,adiantum,adiantum philippense l.,philippense,26,6,1908,
adiantum philippense,adiantum,adiantum philippense,philippense,13,7,1908,232
adiantum philippense,adiantum,adiantum philippense,philippense,20,7,1908,256
adiantum philippense,adiantum,adiantum philippense l.,philippense,20,7,1908,
adiantum philippense,adiantum,adiantum philippense l.,philippense,20,7,1908,329
adiantum philippense,adiantum,adiantum philippense,philippense,20,7,1908,220
adiantum philippense,adiantum,adiantum philippense,philippense,16,8,1908,341
adiantum philippense,adiantum,adiantum philippense l.,philippense,16,8,1908,206
adiantum philippense,adiantum,adiantum philippense,philippense,16,8,1908,56
adiantum philippense,adiantum,adiantum philippense,philippense,23,8,1908,221
adiantum philippense,adiantum,adiantum philippense l.,philippense,30,8,1908,
adiantum philippense,adiantum,adiantum philippense,philippense,30,8,1908,
adiantum philippense,adiantum,adiantum philippense,philippense,27,9,1908,39
adiantum philippense,adiantum,adiantum philippense l.,philippense,19,5,1909,
adiantum philippense,adiantum,adiantum philippense l.,philippense,19,5,1909,
adiantum philippense,adiantum,adiantum philippense l.,philippense,19,5,1909,
adiantum philippense,adiantum,adiantum philippense l.,philippense,19,5,1909,
adiantum philippense,adiantum,adiantum philippense l.,philippense,19,5,1909,
adiantum philippense,adiantum,adiantum philippense l.,philippense,19,5,1909,
adiantum philippense,adiantum,adiantum philippense l.,philippense,22,5,1909,
adiantum philippense,adiantum,adiantum philippense l.,philippense,22,5,1909,
adiantum philippense,adiantum,adiantum philippense l.,philippense,22,5,1909,
adiantum philippense,adiantum,adiantum l.,philippense,1,6,1909,
adiantum philippense,adiantum,adiantum philippense,philippense,1,9,1909,
adiantum philippense,adiantum,adiantum philippense,philippense,1,9,1909,317
adiantum philippense,adiantum,adiantum philippense,philippense,8,11,1909,84
adiantum philippense,adiantum,adiantum philippense l.,philippense,19,12,1909,39
adiantum philippense,adiantum,adiantum philippense l.,philippense,1,1,1910,
adiantum philippense,adiantum,adiantum philippense l.,philippense,1,1,1910,153
adiantum philippense,adiantum,adiantum philippense l.,philippense,8,1,1910,130
adiantum philippense,adiantum,adiantum l.,philippense,15,3,1910,231
adiantum philippense,adiantum,adiantum l.,philippense,19,3,1910,204
adiantum philippense,adiantum,adiantum philippense l.,philippense,18,6,1910,165
adiantum philippense,adiantum,adiantum philippense l.,philippense,18,6,1910,297
adiantum philippense,adiantum,adiantum philippense l.,philippense,18,6,1910,92
adiantum philippense,adiantum,adiantum philippense l.,philippense,18,6,1910,18
adiantum philippense,adiantum,adiantum philippense l.,philippense,18,6,1910,128
adiantum philippense,adiantum,adiantum philippense l.,philippense,18,6,1910,156
adiantum philippense,adiantum,adiantum philippense l.,philippense,21,6,1910,58
adiantum philippense,adiantum,adiantum philippense l.,philippense,21,6,1910,237
adiantum philippense,adiantum,adiantum philippense l.,philippense,21,6,1910,98
adiantum philippense,adiantum,adiantum philippense l.,philippense,29,6,1910,51
adiantum philippense,adiantum,adiantum philippense l.,philippense,29,6,1910,220
adiantum philippense,adiantum,adiantum philippense l.,philippense,29,6,1910,24
adiantum philippense,adiantum,adiantum philippense l.,philippense,29,6,1910,341
adiantum philippense,adiantum,adiantum l.,philippense,30,6,1910,199
adiantum philippense,adiantum,adiantum philippense l.,philippense,1,7,1910,51
adiantum philippense,adiantum,adiantum philippense l.,philippense,1,7,1910,
adiantum philippense,adiantum,adiantum l.,philippense,26,7,1910,
adiantum philippense,adiantum,adiantum philippense,philippense,11,8,1910,
adiantum philippense,adiantum,adiantum philippense l.,philippense,1,11,1910,250
adiantum philippense,adiantum,adiantum philippense,philippense,3,11,1910,
adiantum philippense,adiantum,adiantum philippense,philippense,4,11,1910,213
adiantum philippense,adiantum,adiantum philippense,philippense,11,1,1911,18
adiantum philippense,adiantum,adiantum philippense l.,philippense,4,4,1911,226
adiantum philippense,adiantum,adiantum philippense l.,philippense,1,6,1911,64
adiantum philippense,adiantum,adiantum philippense l.,philippense,1,10,1911,19
adiantum philippense,adiantum,adiantum philippense l.,philippense,1,10,1911,119
adiantum philippense,adiantum,adiantum philippense l.,philippense,1,10,1911,102
adiantum philippense,adiantum,adiantum philippense,philippense,1,11,1911,293
adiantum philippense,adiantum,adiantum philippense,philippense,7,12,1911,333
adiantum philippense,adiantum,adiantum philippense,philippense,27,2,1912,62
adiantum philippense,adiantum,adiantum philippense l.,philippense,27,2,1912,224
adiantum philippense,adiantum,adiantum philippense l.,philippense,27,4,1912,233
adiantum philippense,adiantum,adiantum philippense l.,philippense,27,4,1912,
adiantum philippense,adiantum,adiantum philippense l.,philippense,8,5,1912,249
adiantum philippense,adiantum,adiantum philippense l.,philippense,8,5,1912,134
adiantum philippense,adiantum,adiantum philippense l.,philippense,9,5,1912,192
adiantum philippense,adiantum,adiantum philippense l.,philippense,22,6,1912,249
adiantum philippense,adiantum,adiantum philippense l.,philippense,10,7,1912,235
adiantum philippense,adiantum,adiantum philippense l.,philippense,10,7,1912,364
adiantum philippense,adiantum,adiantum l.,philippense,8,8,1912,105
adiantum philippense,adiantum,adiantum l.,philippense,8,8,1912,47
adiantum philippense,adiantum,adiantum l.,philippense,8,8,1912,221
adiantum philippense,adiantum,adiantum l.,philippense,12,9,1912,220
adiantum philippense,adiantum,adiantum l.,philippense,12,9,1912,335
adiantum philippense,adiantum,adiantum l.,philippense,12,9,1912,316
adiantum philippense,adiantum,adiantum philippense l.,philippense,16,9,1912,63
adiantum philippense,adiantum,adiantum philippense l.,philippense,16,10,1912,144
adiantum philippense,adiantum,adiantum philippense l.,philippense,25,10,1912,229
adiantum philippense,adiantum,adiantum philippense l.,philippense,1,11,1912,62
adiantum philippense,adiantum,adiantum philippense l.,philippense,1,11,1912,255
adiantum philippense,adiantum,adiantum philippense l.,philippense,20,5,1913,82
adiantum philippense,adiantum,adiantum philippense l.,philippense,1,6,1913,238
adiantum philippense,adiantum,adiantum l.,philippense,7,9,1913,46
adiantum philippense,adiantum,adiantum philippense,philippense,22,4,1914,165
adiantum philippense,adiantum,adiantum philippense,philippense,8,8,1914,92
adiantum philippense,adiantum,adiantum philippense l.,philippense,1,10,1914,277
adiantum philippense,adiantum,adiantum philippense l.,philippense,1,10,1914,118
adiantum philippense,adiantum,adiantum philippense l.,philippense,7,10,1914,363
adiantum philippense,adiantum,adiantum philippense l.,philippense,22,10,1914,93
adiantum philippense,adiantum,adiantum philippense l.,philippense,21,5,1915,99
adiantum philippense,adiantum,adiantum philippense l.,philippense,1,6,1916,252
adiantum philippense,adiantum,adiantum philippense l.,philippense,1,6,1916,296
adiantum philippense,adiantum,adiantum philippense l.,philippense,4,6,1916,164
adiantum philippense,adiantum,adiantum philippense l.,philippense,7,6,1916,248
adiantum philippense,adiantum,adiantum philippense l.,philippense,8,6,1916,266
adiantum philippense,adiantum,adiantum philippense,philippense,7,7,1916,192
adiantum philippense,adiantum,adiantum l.,philippense,26,10,1916,
adiantum philippense,adiantum,adiantum philippense,philippense,13,2,1917,187
adiantum philippense,adiantum,adiantum philippense l.,philippense,1,6,1917,253
adiantum philippense,adiantum,adiantum philippense l.,philippense,1,6,1917,134
adiantum philippense,adiantum,adiantum philippense l.,philippense,7,6,1917,
adiantum philippense,adiantum,adiantum philippense,philippense,6,10,1917,
adiantum philippense,adiantum,adiantum philippense l.,philippense,1,11,1917,146
adiantum philippense,adiantum,adiantum philippense l.,philippense,1,11,1917,227
adiantum philippense,adiantum,adiantum philippense l.,philippense,1,11,1917,115
adiantum philippense,adiantum,adiantum philippense l.,philippense,1,11,1917,293
adiantum philippense,adiantum,adiantum philippense l.,philippense,1,11,1917,343
adiantum philippense,adiantum,adiantum philippense l.,philippense,1,11,1917,
adiantum philippense,adiantum,adiantum philippense l.,philippense,1,11,1917,330
adiantum philippense,adiantum,adiantum philippense l.,philippense,1,11,1917,118
adiantum philippense,adiantum,adiantum philippense l.,philippense,1,11,1917,
adiantum philippense,adiantum,adiantum philippense,philippense,3,11,1917,
adiantum philippense,adiantum,adiantum philippense l.,philippense,22,11,1917,
adiantum philippense,adiantum,adiantum l.,philippense,10,7,1918,201
adiantum philippense,adiantum,adiantum philippense,philippense,19,7,1918,59
adiantum philippense,adiantum,adiantum l.,philippense,8,10,1918,18
adiantum philippense,adiantum,adiantum philippense l.,philippense,1,3,1919,229
adiantum philippense,adiantum,adiantum l.,philippense,9,10,1919,83
adiantum philippense,adiantum,adiantum philippense l.,philippense,1,1,1920,
adiantum philippense,adiantum,adiantum philippense l.,philippense,8,1,1920,
adiantum philippense,adiantum,adiantum philippense,philippense,27,2,1921,216
adiantum philippense,adiantum,adiantum philippense,philippense,27,2,1921,184
adiantum philippense,adiantum,adiantum philippense,philippense,27,2,1921,285
adiantum philippense,adiantum,adiantum philippense,philippense,6,4,1921,15
adiantum philippense,adiantum,adiantum l.,philippense,8,8,1921,97
adiantum philippense,adiantum,adiantum philippense l.,philippense,3,10,1921,204
adiantum philippense,adiantum,adiantum philippense l.,philippense,3,10,1921,
adiantum philippense,adiantum,adiantum l.,philippense,17,3,1922,176
adiantum philippense,adiantum,adiantum l.,philippense,17,3,1922,40
adiantum philippense,adiantum,adiantum philippense,philippense,1,6,1923,96
adiantum philippense,adiantum,adiantum philippense,philippense,1,6,1923,
adiantum philippense,adiantum,adiantum philippense,philippense,14,6,1923,220
adiantum philippense,adiantum,adiantum philippense,philippense,19,6,1923,148
adiantum philippense,adiantum,adiantum philippense,philippense,5,7,1923,58
adiantum philippense,adiantum,adiantum philippense,philippense,6,7,1923,74
adiantum philippense,adiantum,adiantum philippense,philippense,7,8,1923,221
adiantum philippense,adiantum,adiantum l.,philippense,8,8,1923,249
adiantum philippense,adiantum,adiantum philippense,philippense,2,12,1923,152
adiantum philippense,adiantum,adiantum philippense,philippense,7,12,1923,183
adiantum philippense,adiantum,adiantum philippense,philippense,31,12,1923,46
adiantum philippense,adiantum,adiantum philippense,philippense,3,1,1924,116
adiantum philippense,adiantum,adiantum philippense,philippense,4,1,1924,249
adiantum philippense,adiantum,adiantum philippense l.,philippense,7,10,1924,221
adiantum philippense,adiantum,adiantum philippense l.,philippense,27,1,1925,278
adiantum philippense,adiantum,adiantum philippense,philippense,27,1,1925,33
adiantum philippense,adiantum,adiantum l.,philippense,3,3,1925,102
adiantum philippense,adiantum,adiantum philippense,philippense,3,10,1925,
adiantum philippense,adiantum,adiantum philippense,philippense,13,10,1925,217
adiantum philippense,adiantum,adiantum philippense l.,philippense,10,1,1926,249
adiantum philippense,adiantum,adiantum philippense,philippense,10,1,1926,121
adiantum philippense,adiantum,adiantum philippense l.,philippense,21,7,1926,240
adiantum philippense,adiantum,adiantum philippense l.,philippense,15,6,1927,
adiantum philippense,adiantum,adiantum philippense,philippense,5,6,1928,119
adiantum philippense,adiantum,adiantum philippense,philippense,23,7,1928,236
adiantum philippense,adiantum,adiantum philippense l.,philippense,1,8,1928,12
adiantum philippense,adiantum,adiantum philippense,philippense,17,11,1928,30
adiantum philippense,adiantum,adiantum philippense l.,philippense,30,11,1928,304
adiantum philippense,adiantum,adiantum philippense l.,philippense,8,2,1929,279
adiantum philippense,adiantum,adiantum philippense l.,philippense,13,3,1929,148
adiantum philippense,adiantum,adiantum philippense l.,philippense,6,4,1929,76
adiantum philippense,adiantum,adiantum philippense,philippense,29,4,1929,136
adiantum philippense,adiantum,adiantum philippense l.,philippense,7,7,1929,188
adiantum philippense,adiantum,adiantum philippense l.,philippense,1,8,1929,1
adiantum philippense,adiantum,adiantum l.,philippense,20,8,1929,94
adiantum philippense,adiantum,adiantum philippense,philippense,23,9,1929,240
adiantum philippense,adiantum,adiantum philippense,philippense,23,9,1929,191
adiantum philippense,adiantum,adiantum l.,philippense,28,10,1929,181
adiantum philippense,adiantum,adiantum philippense l.,philippense,28,11,1929,256
adiantum philippense,adiantum,adiantum philippense l.,philippense,1,12,1929,226
adiantum philippense,adiantum,adiantum philippense,philippense,25,12,1929,220
adiantum philippense,adiantum,adiantum philippense l.,philippense,8,2,1930,
adiantum philippense,adiantum,adiantum philippense l.,philippense,9,4,1930,295
adiantum philippense,adiantum,adiantum l.,philippense,3,7,1930,245
adiantum philippense,adiantum,adiantum philippense l.,philippense,1,4,1931,98
adiantum philippense,adiantum,adiantum philippense,philippense,1,4,1931,229
adiantum philippense,adiantum,adiantum philippense l.,philippense,1,6,1931,70
adiantum philippense,adiantum,adiantum philippense l.,philippense,8,6,1931,
adiantum philippense,adiantum,adiantum philippense,philippense,4,8,1931,
adiantum philippense,adiantum,adiantum philippense l.,philippense,20,6,1932,146
adiantum philippense,adiantum,adiantum philippense l.,philippense,20,6,1932,
adiantum philippense,adiantum,adiantum l.,philippense,8,9,1932,58
adiantum philippense,adiantum,adiantum l.,philippense,23,2,1933,237
adiantum philippense,adiantum,adiantum philippense,philippense,1,6,1933,95
adiantum philippense,adiantum,adiantum philippense,philippense,1,7,1933,230
adiantum philippense,adiantum,adiantum philippense l.,philippense,21,7,1933,184
adiantum philippense,adiantum,adiantum l.,philippense,2,8,1933,246
adiantum philippense,adiantum,adiantum l.,philippense,28,9,1933,
adiantum philippense,adiantum,adiantum l.,philippense,7,10,1933,229
adiantum philippense,adiantum,adiantum philippense,philippense,26,10,1933,
adiantum philippense,adiantum,adiantum l.,philippense,7,12,1933,306
adiantum philippense,adiantum,adiantum philippense l.,philippense,1,5,1934,150
adiantum philippense,adiantum,adiantum philippense l.,philippense,22,8,1934,168
adiantum philippense,adiantum,adiantum philippense l.,philippense,22,8,1934,74
adiantum philippense,adiantum,adiantum philippense l.,philippense,24,8,1934,235
adiantum philippense,adiantum,adiantum philippense l.,philippense,1,9,1934,282
adiantum philippense,adiantum,adiantum philippense,philippense,23,11,1934,
adiantum philippense,adiantum,adiantum philippense l.,philippense,23,11,1934,283
adiantum philippense,adiantum,adiantum philippense l.,philippense,20,2,1935,137
adiantum philippense,adiantum,adiantum philippense l.,philippense,20,2,1935,192
adiantum philippense,adiantum,adiantum l.,philippense,20,2,1935,
adiantum philippense,adiantum,adiantum philippense,philippense,20,2,1935,97
adiantum philippense,adiantum,adiantum philippense,philippense,27,2,1935,187
adiantum philippense,adiantum,adiantum philippense l.,philippense,27,2,1935,247
adiantum philippense,adiantum,adiantum philippense l.,philippense,27,2,1935,280
adiantum philippense,adiantum,adiantum philippense,philippense,1,4,1935,235
adiantum philippense,adiantum,adiantum philippense l.,philippense,5,4,1935,109
adiantum philippense,adiantum,adiantum philippense l.,philippense,5,4,1935,202
adiantum philippense,adiantum,adiantum philippense,philippense,5,4,1935,220
adiantum philippense,adiantum,adiantum philippense l.,philippense,5,4,1935,103
adiantum philippense,adiantum,adiantum philippense,philippense,26,5,1935,265
adiantum philippense,adiantum,adiantum philippense,philippense,28,5,1935,221
adiantum philippense,adiantum,adiantum philippense l.,philippense,28,5,1935,300
adiantum philippense,adiantum,adiantum philippense l.,philippense,28,5,1935,172
adiantum philippense,adiantum,adiantum philippense l.,philippense,28,5,1935,55
adiantum philippense,adiantum,adiantum philippense,philippense,31,5,1935,1
adiantum philippense,adiantum,adiantum philippense l.,philippense,31,5,1935,77
adiantum philippense,adiantum,adiantum philippense l.,philippense,31,5,1935,173
adiantum philippense,adiantum,adiantum philippense l.,philippense,31,5,1935,115
adiantum philippense,adiantum,adiantum l.,philippense,16,7,1935,122
adiantum philippense,adiantum,adiantum philippense,philippense,25,7,1935,203
adiantum philippense,adiantum,adiantum philippense,philippense,25,7,1935,352
adiantum philippense,adiantum,adiantum philippense,philippense,30,7,1935,152
adiantum philippense,adiantum,adiantum philippense,philippense,30,7,1935,277
adiantum philippense,adiantum,adiantum philippense,philippense,12,8,1935,116
adiantum philippense,adiantum,adiantum philippense,philippense,28,8,1935,246
adiantum philippense,adiantum,adiantum philippense,philippense,28,9,1935,
adiantum philippense,adiantum,adiantum philippense,philippense,28,9,1935,190
adiantum philippense,adiantum,adiantum philippense l.,philippense,2,4,1936,
adiantum philippense,adiantum,adiantum philippense l.,philippense,5,4,1936,41
adiantum philippense,adiantum,adiantum l.,philippense,6,5,1936,301
adiantum philippense,adiantum,adiantum philippense l.,philippense,29,7,1936,
adiantum philippense,adiantum,adiantum philippense l.,philippense,29,7,1936,100
adiantum philippense,adiantum,adiantum philippense,philippense,1,8,1936,276
adiantum philippense,adiantum,adiantum philippense,philippense,24,8,1936,64
adiantum philippense,adiantum,adiantum philippense,philippense,24,8,1936,
adiantum philippense,adiantum,adiantum philippense,philippense,4,9,1936,
adiantum philippense,adiantum,adiantum l.,philippense,9,9,1936,272
adiantum philippense,adiantum,adiantum philippense,philippense,10,9,1936,153
adiantum philippense,adiantum,adiantum l.,philippense,24,9,1936,43
adiantum philippense,adiantum,adiantum philippense l.,philippense,1,1,1937,271
adiantum philippense,adiantum,adiantum l.,philippense,22,6,1937,156
adiantum philippense,adiantum,adiantum philippense,philippense,23,7,1937,149
adiantum philippense,adiantum,adiantum philippense l.,philippense,1,11,1937,67
adiantum philippense,adiantum,adiantum philippense l.,philippense,1,11,1937,
adiantum philippense,adiantum,adiantum philippense,philippense,1,11,1937,
adiantum philippense,adiantum,adiantum philippense,philippense,25,11,1937,36
adiantum philippense,adiantum,adiantum l.,philippense,12,12,1937,25
adiantum philippense,adiantum,adiantum philippense,philippense,15,3,1938,
adiantum philippense,adiantum,adiantum philippense l.,philippense,15,3,1938,
adiantum philippense,adiantum,adiantum philippense l.,philippense,28,4,1938,203
adiantum philippense,adiantum,adiantum l.,philippense,28,6,1938,231
adiantum philippense,adiantum,adiantum l.,philippense,30,7,1938,58
adiantum philippense,adiantum,adiantum philippense,philippense,17,8,1938,3
adiantum philippense,adiantum,adiantum l.,philippense,19,9,1938,
adiantum philippense,adiantum,adiantum l.,philippense,19,9,1938,353
adiantum philippense,adiantum,adiantum l.,philippense,22,9,1938,152
adiantum philippense,adiantum,adiantum l.,philippense,12,11,1938,274
adiantum philippense,adiantum,adiantum philippense l.,philippense,27,11,1938,260
adiantum philippense,adiantum,adiantum l.,philippense,30,12,1938,361
adiantum philippense,adiantum,adiantum trapeciformis,philippense,31,12,1938,
adiantum philippense,adiantum,adiantum l.,philippense,23,3,1939,
adiantum philippense,adiantum,adiantum philippense l.,philippense,2,4,1939,
adiantum philippense,adiantum,adiantum philippense l.,philippense,1,7,1939,
adiantum philippense,adiantum,adiantum l.,philippense,9,7,1939,338
adiantum philippense,adiantum,adiantum philippense,philippense,13,8,1939,
adiantum philippense,adiantum,adiantum philippense l.,philippense,20,4,1940,194
adiantum philippense,adiantum,adiantum philippense l.,philippense,27,4,1940,185
adiantum philippense,adiantum,adiantum philippense,philippense,30,4,1940,
adiantum philippense,adiantum,adiantum philippense,philippense,30,4,1940,168
adiantum philippense,adiantum,adiantum philippense,philippense,21,5,1940,1
adiantum philippense,adiantum,adiantum philippense,philippense,19,6,1940,204
adiantum philippense,adiantum,adiantum philippense,philippense,29,6,1940,
adiantum philippense,adiantum,adiantum philippense l.,philippense,29,6,1940,75
adiantum philippense,adiantum,adiantum philippense,philippense,29,6,1940,38
adiantum philippense,adiantum,adiantum philippense,philippense,24,8,1940,151
adiantum philippense,adiantum,adiantum l.,philippense,11,9,1940,
adiantum philippense,adiantum,adiantum philippense,philippense,5,11,1940,70
